card_id,pr_id,population_case_type,pr_state,merged,repo_id,html_url,categoria_retrabajo_pre_merge
3078006902-A,3078006902,merged_after_rework,closed,true,354647574,https://github.com/spacelift-io/spacectl/pull/324,
3154662508-A,3154662508,merged_after_rework,closed,true,737898780,https://github.com/maybe-finance/maybe/pull/2389,
3184725856-A,3184725856,merged_after_rework,closed,true,357728969,https://github.com/oven-sh/bun/pull/20698,
3193198936-A,3193198936,merged_after_rework,closed,true,707764474,https://github.com/tphakala/birdnet-go/pull/841,
3224085262-A,3224085262,merged_after_rework,closed,true,753589979,https://github.com/karakeep-app/karakeep/pull/1723,
3235103212-A,3235103212,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/16758,
3269741497-A,3269741497,merged_after_rework,closed,true,838659679,https://github.com/codexu/note-gen/pull/481,
3074788987-A,3074788987,merged_after_rework,closed,true,262395224,https://github.com/dotnet/maui/pull/29578,
3075024592-A,3075024592,merged_after_rework,closed,true,33010673,https://github.com/microsoft/perfview/pull/2203,
3075216235-A,3075216235,merged_after_rework,closed,true,667153158,https://github.com/deadlydog/PowerShell.tiPS/pull/128,
3075286950-A,3075286950,merged_after_rework,closed,true,33010673,https://github.com/microsoft/perfview/pull/2204,
3075799511-A,3075799511,merged_after_rework,closed,true,56710511,https://github.com/dotnet/macios/pull/22840,
3076981888-A,3076981888,merged_after_rework,closed,true,344511263,https://github.com/microsoft/AzureTRE/pull/4554,
3077383006-A,3077383006,merged_after_rework,closed,true,550902717,https://github.com/dotnet/dotnet/pull/649,
3080755872-A,3080755872,merged_after_rework,closed,true,102907977,https://github.com/benbalter/jekyll-remote-theme/pull/106,
3081566388-A,3081566388,merged_after_rework,closed,true,41005795,https://github.com/microsoft/GSL/pull/1208,
3081576661-A,3081576661,merged_after_rework,closed,true,166226127,https://github.com/christianhelle/apiclientcodegen/pull/1169,
3082820826-A,3082820826,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/15839,
3083360457-A,3083360457,merged_after_rework,closed,true,376924587,https://github.com/microsoft/go-sqlcmd/pull/582,
3084021151-A,3084021151,merged_after_rework,closed,true,166464283,https://github.com/Azure/AppConfiguration/pull/1067,
3084794817-A,3084794817,merged_after_rework,closed,true,174629277,https://github.com/microsoft/lisa/pull/3822,
3084861928-A,3084861928,merged_after_rework,closed,true,215705753,https://github.com/lgallard/terraform-aws-backup/pull/115,
3085322410-A,3085322410,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/15852,
3085653329-A,3085653329,merged_after_rework,closed,true,100315623,https://github.com/Azure/autorest.csharp/pull/5327,
3086540771-A,3086540771,merged_after_rework,closed,true,32051890,https://github.com/dotnet/msbuild/pull/11887,
3087094895-A,3087094895,merged_after_rework,closed,true,587965862,https://github.com/microsoft/finops-toolkit/pull/1633,
3087813875-A,3087813875,merged_after_rework,closed,true,80874333,https://github.com/MikePopoloski/slang/pull/1372,
3090023166-A,3090023166,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/15877,
3091075597-A,3091075597,merged_after_rework,closed,true,726072067,https://github.com/estruyf/vscode-demo-time/pull/123,
3093824141-A,3093824141,merged_after_rework,closed,true,630287118,https://github.com/feiskyer/chatgpt-copilot/pull/491,
3094144121-A,3094144121,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/15909,
3095409522-A,3095409522,merged_after_rework,closed,true,77990768,https://github.com/Azure/azure-functions-core-tools/pull/4445,
3098739033-A,3098739033,merged_after_rework,closed,true,210716005,https://github.com/dotnet/runtime/pull/116080,
3098938231-A,3098938231,merged_after_rework,closed,true,845317529,https://github.com/giselles-ai/giselle/pull/994,
3099658013-A,3099658013,merged_after_rework,closed,true,920805662,https://github.com/microsoft/documentdb/pull/204,
3102987892-A,3102987892,merged_after_rework,closed,true,247710440,https://github.com/specmatic/specmatic/pull/1872,
3104405109-A,3104405109,merged_after_rework,closed,true,33373292,https://github.com/microsoft/ApplicationInsights-JS/pull/2583,
3105376649-A,3105376649,merged_after_rework,closed,true,143808059,https://github.com/cybersemics/em/pull/2994,
3105630972-A,3105630972,merged_after_rework,closed,true,65654242,https://github.com/wvlet/airframe/pull/3947,
3108675807-A,3108675807,merged_after_rework,closed,true,2327138,https://github.com/EduMIPS64/edumips64/pull/1360,
3108861090-A,3108861090,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/16007,
3113149474-A,3113149474,merged_after_rework,closed,true,470727349,https://github.com/celestiaorg/docs/pull/2062,
3114898378-A,3114898378,merged_after_rework,closed,true,153795464,https://github.com/artprima/prometheus-metrics-bundle/pull/118,
3115119469-A,3115119469,merged_after_rework,closed,true,111599187,https://github.com/kanisterio/kanister/pull/3501,
3115680597-A,3115680597,merged_after_rework,closed,true,156939672,https://github.com/microsoft/onnxruntime/pull/24947,
3115762277-A,3115762277,merged_after_rework,closed,true,696529789,https://github.com/dotnet/aspire/pull/9676,
3120162244-A,3120162244,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/16088,
3120246489-A,3120246489,merged_after_rework,closed,true,111599187,https://github.com/kanisterio/kanister/pull/3506,
3124709717-A,3124709717,merged_after_rework,closed,true,221931137,https://github.com/celestiaorg/celestia-core/pull/1918,
3125708547-A,3125708547,merged_after_rework,closed,true,221931137,https://github.com/celestiaorg/celestia-core/pull/1935,
3125790678-A,3125790678,merged_after_rework,closed,true,33010673,https://github.com/microsoft/perfview/pull/2227,
3125817776-A,3125817776,merged_after_rework,closed,true,108311273,https://github.com/Azure/azure-sdk-for-js/pull/34735,
3129041184-A,3129041184,merged_after_rework,closed,true,456470362,https://github.com/polkadot-cloud/polkadot-staking-dashboard/pull/2801,
3131854557-A,3131854557,merged_after_rework,closed,true,824265054,https://github.com/CommunityToolkit/Aspire/pull/724,
3134530187-A,3134530187,merged_after_rework,closed,true,541735786,https://github.com/lukasoppermann/style-dictionary-utils/pull/114,
3134926821-A,3134926821,merged_after_rework,closed,true,41881900,https://github.com/microsoft/vscode/pull/251156,
3137658330-A,3137658330,merged_after_rework,closed,true,541735786,https://github.com/lukasoppermann/style-dictionary-utils/pull/116,
3138223553-A,3138223553,merged_after_rework,closed,true,61973853,https://github.com/microsoft/vscode-mssql/pull/19579,
3139271869-A,3139271869,merged_after_rework,closed,true,696529789,https://github.com/dotnet/aspire/pull/9849,
3141472779-A,3141472779,merged_after_rework,closed,true,416855086,https://github.com/github/gh-gei/pull/1359,
3141802223-A,3141802223,merged_after_rework,closed,true,42548553,https://github.com/Azure/azure-functions-host/pull/11115,
3141911282-A,3141911282,merged_after_rework,closed,true,61973853,https://github.com/microsoft/vscode-mssql/pull/19596,
3142914272-A,3142914272,merged_after_rework,closed,true,65080725,https://github.com/microsoft/testfx/pull/5767,
3147419646-A,3147419646,merged_after_rework,closed,true,56319070,https://github.com/nkdAgility/azure-devops-migration-tools/pull/2742,
3147503921-A,3147503921,merged_after_rework,closed,true,274495425,https://github.com/remotion-dev/remotion/pull/5375,
3150623138-A,3150623138,merged_after_rework,closed,true,55075302,https://github.com/dotnet/android/pull/10206,
3150709470-A,3150709470,merged_after_rework,closed,true,101261687,https://github.com/Azure/autorest.typescript/pull/3295,
3151002300-A,3151002300,merged_after_rework,closed,true,323665366,https://github.com/microsoft/kiota/pull/6671,
3151249906-A,3151249906,merged_after_rework,closed,true,780660899,https://github.com/vltpkg/vltpkg/pull/864,
3151439757-A,3151439757,merged_after_rework,closed,true,445862991,https://github.com/tomhrr/cosh/pull/168,
3151766741-A,3151766741,merged_after_rework,closed,true,998658053,https://github.com/MicrosoftDocs/mcp/pull/13,
3154760858-A,3154760858,merged_after_rework,closed,true,967503541,https://github.com/Azure/azure-mcp/pull/394,
3156412763-A,3156412763,merged_after_rework,closed,true,445862991,https://github.com/tomhrr/cosh/pull/176,
3157499461-A,3157499461,merged_after_rework,closed,true,170592186,https://github.com/Azure/azure-sdk-tools/pull/10924,
3157537779-A,3157537779,merged_after_rework,closed,true,717213617,https://github.com/dotnet/docs-aspire/pull/3849,
3158602889-A,3158602889,merged_after_rework,closed,true,1001508386,https://github.com/githubnext/awesome-continuous-ai/pull/6,
3158819982-A,3158819982,merged_after_rework,closed,true,680120071,https://github.com/microsoft/autogen/pull/6697,
3160865707-A,3160865707,merged_after_rework,closed,true,35890081,https://github.com/dotnet/docs/pull/46897,
3161114956-A,3161114956,merged_after_rework,closed,true,108311273,https://github.com/Azure/azure-sdk-for-js/pull/34878,
3161317787-A,3161317787,merged_after_rework,closed,true,464577591,https://github.com/microsoft/onnxscript/pull/2406,
3161387601-A,3161387601,merged_after_rework,closed,true,55075302,https://github.com/dotnet/android/pull/10234,
3163588483-A,3163588483,merged_after_rework,closed,true,344511263,https://github.com/microsoft/AzureTRE/pull/4599,
3164670085-A,3164670085,merged_after_rework,closed,true,3263496,https://github.com/sshaw/itunes_store_transporter/pull/23,
3166697799-A,3166697799,merged_after_rework,closed,true,162945532,https://github.com/oras-project/oras/pull/1755,
3168487570-A,3168487570,merged_after_rework,closed,true,696529789,https://github.com/dotnet/aspire/pull/9992,
3169097473-A,3169097473,merged_after_rework,closed,true,41881900,https://github.com/microsoft/vscode/pull/252212,
3169100701-A,3169100701,merged_after_rework,closed,true,860100131,https://github.com/microsoft/typescript-go/pull/1268,
3169258531-A,3169258531,merged_after_rework,closed,true,392768635,https://github.com/faros-ai/airbyte-connectors/pull/2107,
3170428337-A,3170428337,merged_after_rework,closed,true,867014724,https://github.com/syncfusion/maui-toolkit/pull/199,
3174268903-A,3174268903,merged_after_rework,closed,true,696529789,https://github.com/dotnet/aspire/pull/10035,
3176217773-A,3176217773,merged_after_rework,closed,true,1223855,https://github.com/BrighterCommand/Brighter/pull/3638,
3176871505-A,3176871505,merged_after_rework,closed,true,32944298,https://github.com/Z3Prover/z3/pull/7695,
3179741870-A,3179741870,merged_after_rework,closed,true,409749889,https://github.com/KilledByAPixel/LittleJS/pull/144,
3179782246-A,3179782246,merged_after_rework,closed,true,944635237,https://github.com/antontanderup/mediocre-hass-media-player-cards/pull/108,
3180334979-A,3180334979,merged_after_rework,closed,true,247681382,https://github.com/dotnet/xharness/pull/1428,
3182285671-A,3182285671,merged_after_rework,closed,true,948560095,https://github.com/Azure-Samples/azure-ai-travel-agents/pull/96,
3188772752-A,3188772752,merged_after_rework,closed,true,41881900,https://github.com/microsoft/vscode/pull/253010,
3190392108-A,3190392108,merged_after_rework,closed,true,100315623,https://github.com/Azure/autorest.csharp/pull/5358,
3190568208-A,3190568208,merged_after_rework,closed,true,137104789,https://github.com/jamesmh/coravel/pull/443,
3190616003-A,3190616003,merged_after_rework,closed,true,1322770,https://github.com/aaronpowell/httpstatus/pull/164,
3192728541-A,3192728541,merged_after_rework,closed,true,126311570,https://github.com/zfit/zfit/pull/644,
3193094223-A,3193094223,merged_after_rework,closed,true,552832415,https://github.com/Azure/azqr/pull/491,
3195214066-A,3195214066,merged_after_rework,closed,true,999686447,https://github.com/microsoft/vscode-copilot-chat/pull/92,
3195598738-A,3195598738,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/16533,
3195801570-A,3195801570,merged_after_rework,closed,true,696529789,https://github.com/dotnet/aspire/pull/10203,
3195969460-A,3195969460,merged_after_rework,closed,true,991787132,https://github.com/linux-do/cdk/pull/27,
