card_id,pr_id,pr_state,merged,repo_id,html_url,categoria_rechazo
3145238894-A,3145238894,closed,false,999285986,https://github.com/sugyan/claude-code-webui/pull/30,
3166880168-A,3166880168,closed,false,839216423,https://github.com/liam-hq/liam/pull/2143,
3219102497-A,3219102497,closed,false,92974124,https://github.com/pyvista/pyvista/pull/7692,
3229732955-A,3229732955,closed,false,1003222647,https://github.com/typedef-ai/fenic/pull/83,
3074656894-A,3074656894,closed,false,830955758,https://github.com/midudev/jsconf.es/pull/97,
3074773765-A,3074773765,closed,false,883829350,https://github.com/hyperlight-dev/hyperlight/pull/506,
3075019704-A,3075019704,closed,false,587965862,https://github.com/microsoft/finops-toolkit/pull/1609,
3075559753-A,3075559753,closed,false,460125865,https://github.com/demergent-labs/azle/pull/3055,
3076280625-A,3076280625,closed,false,550902717,https://github.com/dotnet/dotnet/pull/645,
3076534856-A,3076534856,closed,false,65080725,https://github.com/microsoft/testfx/pull/5606,
3077095173-A,3077095173,closed,false,265001214,https://github.com/tokens-studio/figma-plugin/pull/3361,
3077539464-A,3077539464,closed,false,460125865,https://github.com/demergent-labs/azle/pull/3063,
3077591311-A,3077591311,closed,false,80874333,https://github.com/MikePopoloski/slang/pull/1361,
3077882531-A,3077882531,closed,false,31089461,https://github.com/Azure/autorest/pull/5115,
3078019645-A,3078019645,closed,false,97145011,https://github.com/microsoft/roosterjs/pull/3042,
3078168762-A,3078168762,closed,false,121814210,https://github.com/primer/react/pull/6089,
3079569069-A,3079569069,closed,false,38007053,https://github.com/dotnet/docfx/pull/10675,
3080936447-A,3080936447,closed,false,121814210,https://github.com/primer/react/pull/6102,
3081626335-A,3081626335,closed,false,632238087,https://github.com/ShaunLawrie/PwshSpectreConsole/pull/110,
3082257267-A,3082257267,closed,false,23216272,https://github.com/git-for-windows/git/pull/5631,
3083352446-A,3083352446,closed,false,945671748,https://github.com/openops-cloud/openops/pull/671,
3084631055-A,3084631055,closed,false,89713685,https://github.com/vapourismo/knx-go/pull/108,
3089202205-A,3089202205,closed,false,151148482,https://github.com/elsa-workflows/elsa-core/pull/6690,
3090574134-A,3090574134,closed,false,266445736,https://github.com/owncast/owncast/pull/4356,
3109513181-A,3109513181,closed,false,726072067,https://github.com/estruyf/vscode-demo-time/pull/135,
3122563558-A,3122563558,closed,false,717213617,https://github.com/dotnet/docs-aspire/pull/3712,
3124835441-A,3124835441,closed,false,31625029,https://github.com/zeroc-ice/ice/pull/4062,
3135944862-A,3135944862,closed,false,101261687,https://github.com/Azure/autorest.typescript/pull/3257,
3136047559-A,3136047559,closed,false,48009214,https://github.com/microsoft/react-native-windows/pull/14761,
