card_id,pr_id,population_case_type,pr_state,merged,repo_id,agent,html_url,evidence_source,evidence_created_at,merged_at,horas_creacion_a_primera_aprobacion,horas_creacion_a_merge,horas_creacion_a_aceptacion,fuente_tiempo_aceptacion,categoria_retrabajo_pre_merge,justificacion_breve,cita_textual_retrabajo
3078006902-A,3078006902,merged_after_rework,closed,True,354647574,Claude_Code,https://github.com/spacelift-io/spacectl/pull/324,pr_review_comment,2025-05-20T19:44:39Z,2025-05-21T12:00:58Z,16.423,16.694,16.423,primera_review_aprobada,ajuste_diseno_api_modelo,"No se aprobo inmediatamente porque el diseno de API, modelo de datos o contrato tecnico necesitaba ajuste. La senal principal proviene de comentarios inline de review.","There will be a behavior change because of that btw, because we'll reuse the context passed through Ensure instead of creating a new one for every session, which..."
3154662508-A,3154662508,merged_after_rework,closed,True,737898780,Claude_Code,https://github.com/maybe-finance/maybe/pull/2389,pr_comment,2025-06-17T20:59:05Z,2025-06-17T20:57:05Z,,0.653,0.653,merge_sin_review_aprobada,documentacion_descripcion_incorrecta,"No se aprobo inmediatamente porque la documentacion, descripcion, ejemplos o texto del PR necesitaban correccion. La senal principal proviene de comentarios del PR.","Hey guys, quick question, is there any swagger somewhere on how to use the API ?."
3184725856-A,3184725856,merged_after_rework,closed,True,357728969,Claude_Code,https://github.com/oven-sh/bun/pull/20698,pr_comment,2025-06-28T08:21:48Z,2025-07-03T03:10:08Z,,114.808,114.808,merge_sin_review_aprobada,falla_ci_tests,"No se aprobo inmediatamente porque habia fallas de CI, build o tests que debian resolverse antes del merge. La senal principal proviene de comentarios del PR.",Buildkite reporto una falla en test/js/bun/spawn/spawn.test.ts por timeout.
3193198936-A,3193198936,merged_after_rework,closed,True,707764474,Claude_Code,https://github.com/tphakala/birdnet-go/pull/841,pr_review_comment,2025-07-01T17:48:40Z,2025-07-01T18:11:08Z,,1.171,1.171,merge_sin_review_aprobada,rendimiento_concurrencia,"No se aprobo inmediatamente porque habia consideraciones de rendimiento, asincronia o concurrencia por corregir. La senal principal proviene de comentarios inline de review.","Could use error category/component for per-type limiting + if !w.rateLimiter.Allow errorKey { + w.logger.Debug ""telemetry rate limit exceeded"" + return + } + + //...."
3224085262-A,3224085262,merged_after_rework,closed,True,753589979,Claude_Code,https://github.com/karakeep-app/karakeep/pull/1723,pr_review_comment,2025-07-11T20:08:25Z,2025-07-17T08:24:33Z,132.299,132.301,132.299,primera_review_aprobada,dependencias_versiones_migracion,"No se aprobo inmediatamente porque el cambio implicaba actualizar dependencias, versiones o una migracion que requirio ajustes. La senal principal proviene de comentarios inline de review.",I think we can save it a couple of calls if we just quickly tell it how to do the db migration here?.
3235103212-A,3235103212,merged_after_rework,closed,True,136202695,Claude_Code,https://github.com/mlflow/mlflow/pull/16758,pr_review_comment,2025-07-17T09:21:03Z,2025-07-18T05:37:50Z,41.698,44.544,41.698,primera_review_aprobada,cumplimiento_proceso_pr,No se aprobo inmediatamente porque faltaba cumplir un requisito de proceso del PR. La senal principal proviene de comentarios del PR.,el DCO check fallo y se pidio firmar los commits.
3269741497-A,3269741497,merged_after_rework,closed,True,838659679,Claude_Code,https://github.com/codexu/note-gen/pull/481,pr_comment,2025-07-28T12:40:26Z,2025-07-29T06:05:14Z,,17.441,17.441,merge_sin_review_aprobada,correcion_logica_frontend,"No hay evidencia suficiente de no aprobacion inmediata: la tarjeta muestra aprobacion, seguimiento o comentarios sin una solicitud concreta de correccion.",
3074788987-A,3074788987,merged_after_rework,closed,True,262395224,Copilot,https://github.com/dotnet/maui/pull/29578,pr_review_comment,2025-05-19T19:29:32Z,2025-06-25T15:05:36Z,0.276,883.787,0.276,primera_review_aprobada,documentacion_descripcion_incorrecta,"No se aprobo inmediatamente porque la documentacion, descripcion, ejemplos o texto del PR necesitaban correccion. La senal principal proviene de comentarios inline de review.",We normally add this link with the GA release in November.
3075024592-A,3075024592,merged_after_rework,closed,True,33010673,Copilot,https://github.com/microsoft/perfview/pull/2203,pr_comment,2025-05-19T21:39:31Z,2025-05-22T17:14:02Z,66.489,68.092,66.489,primera_review_aprobada,evidencia_insuficiente_rechazo_inicial,No hay evidencia suficiente de no aprobacion inmediata: la tarjeta muestra aprobacion o conversacion positiva sin una solicitud concreta de correccion.,
3075216235-A,3075216235,merged_after_rework,closed,True,667153158,Copilot,https://github.com/deadlydog/PowerShell.tiPS/pull/128,pr_review_comment,2025-05-19T23:46:45Z,2025-05-20T00:12:12Z,,0.867,0.867,merge_sin_review_aprobada,configuracion_ci_despliegue,No se aprobo inmediatamente porque la automatizacion del workflow necesitaba ajustes. La senal principal proviene de comentarios inline de review.,se pidio escribir el script en PowerShell en vez de Bash y retirar un archivo no necesario.
3075286950-A,3075286950,merged_after_rework,closed,True,33010673,Copilot,https://github.com/microsoft/perfview/pull/2204,pr_review,2025-05-20T05:52:04Z,2025-05-22T15:36:29Z,11.045,63.222,11.045,primera_review_aprobada,documentacion_descripcion_incorrecta,"No se aprobo inmediatamente porque la documentacion, descripcion, ejemplos o texto del PR necesitaban correccion. La review solicito cambios.",se pidio edit the spec for V5.
3075799511-A,3075799511,merged_after_rework,closed,True,56710511,Copilot,https://github.com/dotnet/macios/pull/22840,pr_review,2025-05-27T08:40:46Z,2025-07-16T15:05:40Z,1228.6,1376.756,1228.6,primera_review_aprobada,estilo_formato_lint,"No se aprobo inmediatamente porque habia problemas de formato, lint o estilo del codigo. La review solicito cambios.",Always use the code formatting as configured in the root directory's .editorconfig file.
3076981888-A,3076981888,merged_after_rework,closed,True,344511263,Copilot,https://github.com/microsoft/AzureTRE/pull/4554,pr_review,2025-06-27T09:19:45Z,2025-07-03T08:37:57Z,908.133,1051.437,908.133,primera_review_aprobada,cumplimiento_proceso_pr,No se aprobo inmediatamente porque faltaba actualizar metadatos de entrega del PR. La senal principal proviene de comentarios del PR.,se pidio actualizar el changelog y la version de UI antes de aceptar.
3077383006-A,3077383006,merged_after_rework,closed,True,550902717,Copilot,https://github.com/dotnet/dotnet/pull/649,pr_comment,2025-05-20T15:32:13Z,2025-05-20T20:52:04Z,1.238,5.651,1.238,primera_review_aprobada,cumplimiento_proceso_pr,No se aprobo inmediatamente porque habia un requisito de formato legal/proceso en cabeceras de licencia. La senal principal proviene de comentarios del PR.,se pidio reemplazar cabeceras de tres lineas por el formato de licencia de dos lineas.
3080755872-A,3080755872,merged_after_rework,closed,True,102907977,Copilot,https://github.com/benbalter/jekyll-remote-theme/pull/106,pr_comment,2025-05-21T18:00:59Z,2025-05-21T18:57:01Z,,2.853,2.853,merge_sin_review_aprobada,configuracion_ci_despliegue,No se aprobo inmediatamente porque el cambio de Travis a GitHub Actions seguia en curso y requeria seguimiento. La senal principal proviene de comentarios del PR.,se consulto si el trabajo seguia activo y luego se confirmo la migracion.
