card_id,pr_id,population_case_type,pr_state,merged,repo_id,html_url,resumen_justificacion_categoria,horas_creacion_a_primera_aprobacion,horas_creacion_a_merge,horas_creacion_a_aceptacion,fuente_tiempo_aceptacion,categoria_retrabajo_pre_merge
3078006902-A,3078006902,merged_after_rework,closed,true,354647574,https://github.com/spacelift-io/spacectl/pull/324,,16.423,16.694,16.423,primera_review_aprobada,
3154662508-A,3154662508,merged_after_rework,closed,true,737898780,https://github.com/maybe-finance/maybe/pull/2389,,,0.653,0.653,merge_sin_review_aprobada,
3184725856-A,3184725856,merged_after_rework,closed,true,357728969,https://github.com/oven-sh/bun/pull/20698,,,114.808,114.808,merge_sin_review_aprobada,
3193198936-A,3193198936,merged_after_rework,closed,true,707764474,https://github.com/tphakala/birdnet-go/pull/841,,,1.171,1.171,merge_sin_review_aprobada,
3224085262-A,3224085262,merged_after_rework,closed,true,753589979,https://github.com/karakeep-app/karakeep/pull/1723,,132.299,132.301,132.299,primera_review_aprobada,
3235103212-A,3235103212,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/16758,,41.698,44.544,41.698,primera_review_aprobada,
3269741497-A,3269741497,merged_after_rework,closed,true,838659679,https://github.com/codexu/note-gen/pull/481,,,17.441,17.441,merge_sin_review_aprobada,
3074788987-A,3074788987,merged_after_rework,closed,true,262395224,https://github.com/dotnet/maui/pull/29578,,0.276,883.787,0.276,primera_review_aprobada,
3075024592-A,3075024592,merged_after_rework,closed,true,33010673,https://github.com/microsoft/perfview/pull/2203,,66.489,68.092,66.489,primera_review_aprobada,
3075216235-A,3075216235,merged_after_rework,closed,true,667153158,https://github.com/deadlydog/PowerShell.tiPS/pull/128,,,0.867,0.867,merge_sin_review_aprobada,
3075286950-A,3075286950,merged_after_rework,closed,true,33010673,https://github.com/microsoft/perfview/pull/2204,,11.045,63.222,11.045,primera_review_aprobada,
3075799511-A,3075799511,merged_after_rework,closed,true,56710511,https://github.com/dotnet/macios/pull/22840,,1228.600,1376.756,1228.600,primera_review_aprobada,
3076981888-A,3076981888,merged_after_rework,closed,true,344511263,https://github.com/microsoft/AzureTRE/pull/4554,,908.133,1051.437,908.133,primera_review_aprobada,
3077383006-A,3077383006,merged_after_rework,closed,true,550902717,https://github.com/dotnet/dotnet/pull/649,,1.238,5.651,1.238,primera_review_aprobada,
3080755872-A,3080755872,merged_after_rework,closed,true,102907977,https://github.com/benbalter/jekyll-remote-theme/pull/106,,,2.853,2.853,merge_sin_review_aprobada,
3081566388-A,3081566388,merged_after_rework,closed,true,41005795,https://github.com/microsoft/GSL/pull/1208,,,19.258,19.258,merge_sin_review_aprobada,
3081576661-A,3081576661,merged_after_rework,closed,true,166226127,https://github.com/christianhelle/apiclientcodegen/pull/1169,,,23.012,23.012,merge_sin_review_aprobada,
3082820826-A,3082820826,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/15839,,159.789,160.853,159.789,primera_review_aprobada,
3083360457-A,3083360457,merged_after_rework,closed,true,376924587,https://github.com/microsoft/go-sqlcmd/pull/582,,134.752,144.205,134.752,primera_review_aprobada,
3084021151-A,3084021151,merged_after_rework,closed,true,166464283,https://github.com/Azure/AppConfiguration/pull/1067,,0.674,1.376,0.674,primera_review_aprobada,
3084794817-A,3084794817,merged_after_rework,closed,true,174629277,https://github.com/microsoft/lisa/pull/3822,,27.643,27.648,27.643,primera_review_aprobada,
3084861928-A,3084861928,merged_after_rework,closed,true,215705753,https://github.com/lgallard/terraform-aws-backup/pull/115,,,191.100,191.100,merge_sin_review_aprobada,
3085322410-A,3085322410,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/15852,,2.537,2.601,2.537,primera_review_aprobada,
3085653329-A,3085653329,merged_after_rework,closed,true,100315623,https://github.com/Azure/autorest.csharp/pull/5327,,1.358,1.403,1.358,primera_review_aprobada,
3086540771-A,3086540771,merged_after_rework,closed,true,32051890,https://github.com/dotnet/msbuild/pull/11887,,456.400,473.055,456.400,primera_review_aprobada,
3087094895-A,3087094895,merged_after_rework,closed,true,587965862,https://github.com/microsoft/finops-toolkit/pull/1633,,135.128,135.159,135.128,primera_review_aprobada,
3087813875-A,3087813875,merged_after_rework,closed,true,80874333,https://github.com/MikePopoloski/slang/pull/1372,,,9.902,9.902,merge_sin_review_aprobada,
3090023166-A,3090023166,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/15877,,,0.279,0.279,merge_sin_review_aprobada,
3091075597-A,3091075597,merged_after_rework,closed,true,726072067,https://github.com/estruyf/vscode-demo-time/pull/123,,,3.509,3.509,merge_sin_review_aprobada,
3093824141-A,3093824141,merged_after_rework,closed,true,630287118,https://github.com/feiskyer/chatgpt-copilot/pull/491,,,1249.109,1249.109,merge_sin_review_aprobada,
3094144121-A,3094144121,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/15909,,,0.827,0.827,merge_sin_review_aprobada,
3095409522-A,3095409522,merged_after_rework,closed,true,77990768,https://github.com/Azure/azure-functions-core-tools/pull/4445,,522.993,525.690,522.993,primera_review_aprobada,
3098739033-A,3098739033,merged_after_rework,closed,true,210716005,https://github.com/dotnet/runtime/pull/116080,,47.114,190.167,47.114,primera_review_aprobada,
3098938231-A,3098938231,merged_after_rework,closed,true,845317529,https://github.com/giselles-ai/giselle/pull/994,,1.816,1.833,1.816,primera_review_aprobada,
3099658013-A,3099658013,merged_after_rework,closed,true,920805662,https://github.com/microsoft/documentdb/pull/204,,335.637,478.895,335.637,primera_review_aprobada,
3102987892-A,3102987892,merged_after_rework,closed,true,247710440,https://github.com/specmatic/specmatic/pull/1872,,,47.347,47.347,merge_sin_review_aprobada,
